"tag_id","obs_site","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"3DD.00774E2875","BO4","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-03 18:21:01,"H",NA,FALSE,"sockeye"
"3DD.00774E2875","MC1","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-08 17:16:21,"H",NA,FALSE,"sockeye"
"3DD.00774E2875","TD2","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-05 11:28:33,"H",NA,FALSE,"sockeye"
"3DD.00774E2875","JDALD1","Summer","RLCTRP","Upper Salmon",2014-05-09,"Passive Recapture",2017-07-06 12:09:41,"H",NA,FALSE,"sockeye"
"3DD.00774E2875","MC1","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-08 17:16:20,"H",NA,FALSE,"sockeye"
"3DD.00774E2875","LMA","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-11 19:05:21,"H",NA,FALSE,"sockeye"
"3DD.00774E2875","ICH","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-10 16:28:15,"H",NA,FALSE,"sockeye"
"3DD.00774E2875","ICH","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-10 16:28:16,"H",NA,FALSE,"sockeye"
"3DD.00774E2875","LMA","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-11 19:05:13,"H",NA,FALSE,"sockeye"
"3DD.00774E2875","GRA","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-15 11:55:37,"H",NA,FALSE,"sockeye"
"3DD.00774E93B8","JDALD2","Summer","RLCTRP","Upper Salmon",2014-05-09,"Passive Recapture",2017-06-29 14:03:43,"H",NA,FALSE,"sockeye"
"3DD.00774E93B8","GRA","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-12 09:40:28,"H",NA,FALSE,"sockeye"
"3DD.00774E93B8","MC1","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-02 18:45:32,"H",NA,FALSE,"sockeye"
"3DD.00774E93B8","JDALD1","Summer","RLCTRP","Upper Salmon",2014-05-09,"Passive Recapture",2017-06-27 04:49:33,"H",NA,FALSE,"sockeye"
"3DD.00774E93B8","GRA","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-12 09:18:55,"H",NA,FALSE,"sockeye"
"3DD.00774E93B8","BO3","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-06-21 10:01:11,"H",NA,FALSE,"sockeye"
"3DD.00774E93B8","BO4","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-06-22 21:05:52,"H",NA,FALSE,"sockeye"
"3DD.00774E93B8","LMA","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-08 16:23:04,"H",NA,FALSE,"sockeye"
"3DD.00774E93B8","BO3","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-06-21 10:01:12,"H",NA,FALSE,"sockeye"
"3DD.00774E93B8","BO4","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-06-22 21:05:51,"H",NA,FALSE,"sockeye"
"3DD.00774E93B8","JDALD1","Summer","RLCTRP","Upper Salmon",2014-05-09,"Passive Recapture",2017-06-26 09:03:52,"H",NA,FALSE,"sockeye"
"3DD.00774E93B8","GOA","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-10 09:37:32,"H",NA,FALSE,"sockeye"
"3DD.00774E93B8","MC1","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-02 18:45:33,"H",NA,FALSE,"sockeye"
"3DD.00774E93B8","TD1","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-06-25 04:25:22,"H",NA,FALSE,"sockeye"
"3DD.00774E93B8","GOA","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-10 09:37:31,"H",NA,FALSE,"sockeye"
"3DD.00774E93B8","ICH","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-05 21:40:16,"H",NA,FALSE,"sockeye"
"3DD.00774E93B8","ICH","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-05 08:11:59,"H",NA,FALSE,"sockeye"
"3DD.00774E93B8","TD1","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-06-25 04:25:21,"H",NA,FALSE,"sockeye"
"3DD.00774E93B8","ICH","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-05 21:39:18,"H",NA,FALSE,"sockeye"
"3DD.00774E93B8","LMA","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-08 16:23:05,"H",NA,FALSE,"sockeye"
"3DD.00774EC44E","GRA","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-18 11:41:11,"H",NA,FALSE,"sockeye"
"3DD.00774EC44E","BO3","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-06 11:59:43,"H",NA,FALSE,"sockeye"
"3DD.00774EC44E","BO3","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-06 11:59:42,"H",NA,FALSE,"sockeye"
"3DD.00774EC44E","ICH","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-13 13:05:12,"H",NA,FALSE,"sockeye"
"3DD.00774EC44E","GOA","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-15 19:00:57,"H",NA,FALSE,"sockeye"
"3DD.00774EC44E","MC1","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-11 18:13:25,"H",NA,FALSE,"sockeye"
